Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
00/00/1908,Villar,local,derrota,0,1,El Vencedor,Amistoso 1908,-,desconocido,-,-,foto,sin datos,45,90,0,0
00/00/1908,Villar,local,victoria,2,1,La Luna,Amistoso 1908,-,desconocido,-,-,foto,sin datos,45,90,0,0
30/05/1909,Villar,local,derrota,1,4,Victoria,1° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,"Enrique Berni; Leroy y López; Fariña, Villar y Gurruchaga; Ernesto Dellisola, Antonio Salgado, Wenseslao Luján, Elizardo Fernández y Ángel Cambiasso.",-,foto,sin datos,45,90,0,0
06/06/1909,Villar,local,victoria,-,-,Uruguay Juniors,2° fecha de la Liga Centenario 1909 (anulado),Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
13/06/1909,Villar,visitante,victoria,-,-,Corbeta Uruguay,2° fecha de la Liga Centenario 1909,Mendoza y Colorado,desconocido,-,-,foto,sin datos,45,90,0,0
20/06/1909,Villar,local,victoria,-,-,Patriota del Sud,3° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
27/06/1909,Villar,local,victoria,-,-,Cóndor de Los Andes B,4° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
04/07/1909,Villar,local,victoria,-,-,La Argentina B,5° fecha de la Liga Centenario 1909 (anulado),Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
18/07/1909,Villar,local,victoria,-,-,Pequeño Beresford,5° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
25/07/1909,Villar,local,victoria,-,-,Victoria,6° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
08/08/1909,Villar,local,victoria,-,-,Corbeta Uruguay,7° fecha de la Liga Centenario 1909,Parque Patricios,desconocido,-,-,foto,sin datos,45,90,0,0
29/08/1909,Villar,visitante,victoria,-,-,Patriota del Sud,8° fecha de la Liga Centenario 1909,Mendoza y Colorado,desconocido,-,-,foto,sin datos,45,90,0,0
19/09/1909,Villar,visitante,victoria,-,-,Pequeño Beresford,9° fecha de la Liga Centenario 1909,Lacarra y Rivadavia,desconocido,-,-,foto,sin datos,45,90,0,0
03/10/1909,Villar,visitante,victoria,-,-,Cóndor de Los Andes B,10° fecha de la Liga Centenario 1909,Piñeiro,desconocido,-,-,foto,sin datos,45,90,0,0
21/11/1909,Villar,local,victoria,-,-,Patriota del Sud,Desempate de Sección B de la Liga Centenario 1909,Mendoza y Colorado,desconocido,-,-,foto,sin datos,45,90,0,0
05/12/1909,Villar,local,victoria,-,-,Cóndor de Los Andes A,Semifinal de la Liga Centenario 1909,Mendoza y Colorado,desconocido,-,-,foto,sin datos,45,90,0,0
09/01/1910,Villar,visitante,derrota,1,2,Unión Barracas,Final de la Liga Centenario 1909,Mtro. Brin y Carcarañá,desconocido,-,-,foto,sin datos,45,90,0,0
