Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
09/04/1925,Scursoni,neutral,derrota,0,1,Racing Club,Amistoso 1925,Sportivo Barracas,Cúneo,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Juan Evaristo, Cayetano Federico y Juan B Scursoni; Adán Loizo, Gastelú, Guillermo Stábile, Rubino y Olivetto.","Marcos Croce; Castagnola y Seregni; Tassara, Zumelzú y Palasi; Perinetti, Ochoa, Carreras, Spraggón y Rey.",foto,77 GOL Rey (RAC),45,90,0,0
07/06/1925,Scursoni,local,victoria,4,1,Argentinos Juniors,9° fecha del Campeonato 1925,La Quema,Sosa,"Castelli; Carlos Nobile y Juan F Pratto; Juan Evaristo, Ramón Vázquez y Juan B Scursoni; Adán Loizo, Ángel Chiessa, Guillermo Stábile, Félix Gastelú y Francisco Olivetto.","Cositorto; Méndez y Pascual Di Paola; Lobianco, Perini y Giúdice; Perdomo, Vecchia, Meraldi, Irigoyen y Rivas.",foto,8 GOL Irigoyen (AJU)</br>18 GOL Ángel Chiessa (HUR)</br>50 GOL Ramón Vázquez (HUR)</br>52 GOL Guillermo Stábile (HUR)</br>54 GOL Guillermo Stábile (HUR),45,90,0,0
26/07/1925,Scursoni,visitante,victoria,4,3,Argentinos Juniors,Inauguración Estadio 1925 (amistoso),La Paternal,desconocido,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Cayetano Federico, Juan Evaristo y Juan B Scursoni; Adán Loizo, Gerónimo Uriarte, Guillermo Stábile, Ángel Chiessa y Cesáreo Onzari.","Cositorto; Giachetti y Pascual Di Paola; Perini, Vaccaro y Méndez; Vecchia, Gatti, Bernasconi, Berardi y Rivas.",foto,4 GOL Juan Saldías (HUR)</br>9 GOL Cesáreo Onzari (HUR)</br>12 GOL Guillermo Stábile (HUR)</br>29 GOL Berardi (AJU)</br>48 GOL Bernasconi (AJU)</br>73 GOL Guillermo Stábile (HUR)</br>87 GOL Bernasconi (AJU),45,90,0,0
25/10/1925,Scursoni,visitante,derrota,2,4,Argentinos Juniors,2° fase de Copa Competencia 1925,La Paternal,Celleri,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Cayetano Federico, Ramón Vázquez y Juan B Scursoni; Adán Loizo, Gerónimo Uriarte, Guillermo Stábile, Ángel Chiessa y Galileo Planas.","López; Pascual Di Paola y Giachetti; Lobianco, Vaccaro y Perini; Solano, Vecchia, Bernasconi, Beraldi y Rivas.",foto,5 GOL Vaccaro (AJU)</br>20 GOL Solano (AJU)</br>44 GOL Carlos Nobile (HUR)</br>55 GOL Rivas (AJU)</br>71 GOL Meraldi (AJU)</br>89 GOL Juan F Pratto (HUR),45,90,0,0
01/08/1926,Vázquez,neutral,victoria,1,0,Real Español (España),Gira del Real Español (amistoso),Sportivo Barracas,Tomás Tenconi,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Alejandro Giglio y Eduardo Souza; Adán Loizo, Ángel Chiessa, Guillermo Stábile, José Fortunato y Cesáreo Onzari.","Ricardo Zamora; Félix Quesada y Juan J Urquizu; Ramón Irabal, Desiderio Esparza y Patricio Caicedo; Martín Ventolrá, Eduardo Cubells, Teodoro Mauri, Félix Pérez y Mariano Yurrita.",foto,17 GOL Juan F Pratto (HUR)</br><b>1° Tiempo: Huracán 1x0 Español</b></br>65 EXP Teodoro Mauri (ESP),45,90,0,0
30/08/1926,-,visitante,derrota,1,3,Boca Juniors,Copa Estandarte 1926 (amistoso),Boca Juniors,Celleri,"Armando Cereseto; Vecchiarelli y Juan F Pratto; Pablo Bartolucci, J Chiessa y Eduardo Souza; Adán Loizo, Juan S Scurzoni, Guillermo Stábile, José Fortunato y Cesáreo Onzari.","Américo Tesoriere; Bidoglio y Ramón Mutis; Segundo Medici, Mario Fortunato y Elli; Domingo Tarasconi, Roberto Cherro, Cerroti, Bisio y Delgado.",foto,13 GOL Domingo Tarasconi (BJU)</br>65 GOL Domingo Tarasconi (BJU) -penal-</br>25 GOL Delgado (BJU)</br>70 GOL José Fortunato (HUR),45,90,0,0
01/11/1926,Vázquez,visitante,victoria,3,1,Rosario Central,Amistoso 1926,Parque Independencia (Rosario),-,"Armando Cereseto; Juan A Vico y Juan B Scursoni; Alejandro Giglio, Luis Molinari y Eduardo Souza; Adán Loizo, Ángel Chiessa, Antonio Benítez, Francisco Onzari y Cesáreo Onzari.","Alberto Nadalutti; Francisco De Cicco y Florencio Sarasíbar; Fernando Fajardo, Serapio Mujica y José Fioroni; Arístide Ongaro, Martín Sánchez, Armando Bertei, Atilio Coirini y Esteban Indaco.",foto,50 GOL Silva (HUR)</b>52 GOL Sánchez (RCE)</b>61 GOL Antonio Benítez (HUR)</b>67 GOL Adán Loizo (HUR),45,90,0,0
00/12/1926,Chiesa,visitante,derrota,P,G,Argentinos Juniors,16° fecha del campeonato,-,-,-,-,foto,Gana Argentinos Juniors por forfait,0,0,0,0
19/12/1926,-,local,derrota,0,2,Boca Juniors,14° fecha del Campeonato 1926,La Quema,Garigliano,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Alejandro Giglio y Eduardo Souza; Adán Loizo, Ángel Chiessa, Guillermo Stábile, F Onzari y Cesáreo Onzari.","Américo Tesoriere; Bidoglio y Segundo Mutis; Segundo Medici, Mario Fortunato y Garasini; Domingo Tarasconi, Roberto Cherro, Cerrotti, Bissio y Delgado.",foto,46 GOL Domingo Tarasconi (BJU)</br>58 GOL Bissio (BJU),45,90,0,0
13/02/1927,-,visitante,empate,2,2,San Lorenzo de Almagro,Amistoso 1927,Gasómetro,Napoli,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Alejandro Giglio y Horacio Souza; Guillermo Stábile, Juan Spósito, Gregorio Maidana, Ángel Chiessa y Cesáreo Onzari.","Coll; Omar y Enrique Monti; Lujambio, Luis Monti y Fossa; Alfredo Carricaberry, Acosta, Assisi, Alfredo Larmeu y Foresto.",foto,4 GOL Foresto (SLA)</br>22 GOL Guillermo Stábile (HUR)</br>70 GOL Assisi (SLA)</br>75 GOL Guillermo Stábile (HUR)</br>76 Suspendido por falta de luz,45,76,0,0
27/02/1927,-,local,victoria,3,0,River Plate,Amistoso 1927,La Quema,Nai Foino,"Armando Cereseto; Carlos Nobile y Juan F Pratto; Pablo Bartolucci, Alejandro Giglio y Horacio Souza; Adán Loizo, Guillermo Stábile, Gregorio Maidana, Ángel Chiessa y Cesáreo Onzari.","Juan Mihovich; Pedro Choperena y Moisés Patiño; Roberto Simone, Luis Maresca y Camilo Bonelli; J León, José Penichet, Pedro Fernández, Atilio Granara Costa y Eugenio Taboada.",foto,17 GOL Guillermo Stábile (HUR)</br>36 GOL Cesáreo Onzari (HUR)</br>69 GOL Guillermo Stábile (HUR),45,76,0,0
