Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,FotoB,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
18/02/1970,Vigo,visitante,derrota,0,1,Rosario Central,Pase Giribet 1970 (amistoso),Arroyito (Rosario),-,"Raúl Navarro; Alberto Dopacio, Edgardo Cantú, Héctor Fresneda y Rodolfo Chazarreta; Alberto Rendo y Tito Gómez; Hugo Tedesco, Miguel Brindisi, Carlos Leone y Luis Giribet.","Biasutto; José González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Bustos y Balbuena; Correa, Colman, Castronovo y Garello.",foto,88 GOL José González (RCE) -penal-,45,90,0,0
21/02/1970,Vigo,neutral,victoria,3,1,Racing Club,Amistoso 1970,Villa Crespo,Álvarez,"Raúl Navarro; Gramari (Chazarreta), Alberto Dopacio, Daniel Buglione y Fresneda; Alberto Rendo, Vilanova y Héctor Veira (Araquem de Melo); Hugo Tedesco, Vera y Osvaldo Clausi.","Sánchez; Enrique Wolff, Jorge Paolino, Rocchia y Nelson Chabay; Squeo, Aguirre (Benítez) y Adorno; Cárdenas, Moreno y Lamelza.",foto,33 GOL Alfredo Obberti (HUR)</br>37 GOL Moreno (RAC)</br>42 GOL Héctor Veira (HUR)</br>67 GOL Alfredo Obberti (HUR),45,90,0,0
24/02/1970,Vigo,visitante,victoria,5,4,Quilmes (Mar del Plata),Amistoso 1970,Gral. San Martín (Mar del Plata),Trisolini,"J Vázquez; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Fresneda (Chazarreta); Alberto Rendo y Vilanova (Tito Gómez); Hugo Tedesco, Alfredo Obberti, Héctor Veira y Osvaldo Clausi (Juan C López).","Pérez (Quintian); Moreno, H Vázquez (Picabea), Di Donato y Vilar; Pazos y Alonso; Piro (Zanfrillo (Garro)), Bustos, Parodi y Chiquilito.",foto,6 GOL Di Donato (QMP)</br>13 GOL Pazos (QMP)</br>15 GOL Bustos (QMP)</br>38 GOL Rodolfo Vilanova (HUR)</br>42 GOL Héctor Veira (HUR)</br>69 GOL Héctor Veira (HUR)</br>86 GOL Héctor Veira (HUR)</br>46 GOL Chiquilito (QMP)</br>76 GOL Hugo Tedesco (HUR),45,90,0,0
26/02/1970,Vigo,visitante,victoria,6,3,Kimberley (Mar del Plata),Amistoso 1970,Gral. San Martín (Mar del Plata),desconocido,"Néstor Hernandorena; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Chazarreta (Lavorato); Alberto Rendo (80 Sergio Cantú) y Vilanova; Hugo Tedesco, Alfredo Obberti, Osvaldo Clausi y Héctor Veira (57 Juan C López).  46 Tito Gómez","Ucha (46 Peppe); Minore y Deglinoccenti; Avio y Sangorrin; Ramírez, Cardone, Malleo y Catalano.",foto,9 GOL Malleo (KMP)</br>26 GOL Alberto Rendo (HUR)</br>47 GOL Héctor Veira (HUR)</br>58 GOL Alfredo Obberti (HUR)</br>62 GOL Juan C López (HUR)</br>67 GOL Juan C López (HUR)</br>68 GOL Malleo (KMP)</br>87 GOL Malleo (KMP)</br>89 GOL Sergio Cantú (HUR),45,90,0,0
04/03/1970,Vigo,visitante,derrota,2,4,Rosario Central,1° fase de la Copa Argentina 1970,Arroyito (Rosario),Boccardi,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Daniel Buglione (Palma) y Héctor Fresneda; Tito Gómez, Rodolfo Vilanoba y Hugo Tedesco (Juan C López); Alfredo Obberti, Héctor Veira y Osvaldo Clausi.","Biasutto; González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Colman (H Díaz), M Bustos y Correa; Balbuena, Castronovo y Garello (Bustos).",foto,18 GOL Héctor Veira (HUR)</br>26 GOL Balbuena (RCE)</br>56 GOL Alfredo Obberti (HUR)</br>63 GOL Correa (RCE)</br>70 GOL Alberto Gómez (RCE)</br>84 GOL Castronovo (RCE),45,90,0,0
07/03/1970,Vigo,local,empate,1,1,Rosario Central,1° fase de la Copa Argentina 1970,Tomás A. Ducó,Busca,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Héctor Fresneda; Tito Gómez (José Varela), Rodolfo Vilanoba y Hugo Tedesco; Juan C López (A Sotelo), Héctor Veira y Osvaldo Clausi.","Biasutto; González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Pierucci, M Bustos y Correa (Díaz); Balbuena, Castronovo y A Gómez (Zavagno).",foto,8 GOL Osvaldo Clausi (HUR)</br>84 GOL Zavagno (RCE),45,90,0,0
18/03/1970,Vigo,neutral,derrota,0,2,San Lorenzo de Almagro,Amistoso 1970,Villa Crespo,Ithurralde,"Raúl Navarro; Fresneda, Alberto Dopacio, Edgardo Cantú (Osvaldo Clausi) y Lavorato; Tito Gómez, Rodolfo Vilanoba (Daniel Buglione); Hugo Tedesco, Roque Avallay, Héctor Veira y Luis Giribet.","Carlos Buticce (D'Alessandro); Glaría, Calics, Albrecht y Rosl; Rodríguez y Telch (Coco); Ayala (González), Veglio, Fischer y García Ameijenda.",foto,49 GOL Veglio (SLA)</br>65 GOL Fischer (SLA),45,90,0,0
22/03/1970,Vigo,local,victoria,5,3,Los Andes,1° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Ducatelli,"Raúl Navarro; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Nelson López; Tito Gómez, Rodolfo Vilanoba y Héctor Veira (Osvaldo Clausi); Hugo Tedesco, Roque Avallay y Luis Giribet.","Barbosa; Vignale, Jorge Ginarte, Cardaci y Julio Bordatto; Manfredi y Dacunto; Donato, Alberto Cabaleiro, Da Graca (72 Ferreyra) y Vera (72 Bustamante).",foto,4 GOL Luis Giribet (HUR)</br>9 GOL Da Graca (AND)</br>15 GOL Hugo Tedesco (HUR)</br>24 GOL Luis Giribet (HUR)</br>43 GOL Cardaci (AND) -penal-</br>49 GOL Hugo Tedesco (HUR)</br>70 GOL Nelson López (HUR)</br>88 GOL Alberto Cabaleiro (AND),45,90,0,0
26/03/1970,Vigo,visitante,derrota,1,5,Independiente,2° fecha del Campeonato Metropolitano 1970,Doble Visera,Miculka,"Raúl Navarro; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Nelson López; Tito Gómez, Rodolfo Vilanoba (Julio Alas) y Héctor Veira (Miguel Brindisi); Hugo Tedesco, Roque Avallay y Luis Giribet.","Santoro; Commisso, Monges, Semenewicz y Pavoni; Pastoriza y Raimondo; Bernao, Yazalde, Adorno y Tarabini.",foto,25 GOL Tarabini (IND)</br>62 GOL Pavoni (IND)</br>70 LES Tito Gómez (HUR)</br>73 GOL Hugo Tedesco (HUR)</br>74 GOL Adorno (IND)</br>78 GOL Héctor Yazalde (IND)</br>88 GOL Adorno (IND),45,90,0,0
30/03/1970,Vigo,visitante,derrota,0,1,Estudiantes (La Plata),3° fecha del Campeonato Metropolitano 1970,Uno (La Plata),Cazayous,"Raúl Navarro; Julio Alas, Alberto Dopacio, Edgardo Cantú y Nelson López; Miguel Brindisi, Carlos Leone y Araquem de Melo (Oscar Lacrampe); Hugo Tedesco, Roque Avallay y Luis Giribet.","Flores; Pagnanini, Spadaro, Togneri y Malbernat; Carlos Bilardo y Solari; Rudzki, Flores, Romeo y Verón.",foto,57 GOL Spadaro (ELP) -penal-,45,90,0,0
