Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias
08/12/1952,Emilio Baldonedo,visitante,empate,2,2,Ind. Santa Fe (Colombia),Amistoso,El Campín de Bogotá (Colombia),Fernández (Colombia),"Chamorro (Espriella); Kersul y Pellegrino; Reyes, Bernasconi y Fain; Arango, Deibe, Pairoux, Antón (Ortega) y Villalba.","Jacinto Díaz; Rodríguez y Juan Romeral; Néstor Naya, José Nazionale (Juan Romo) y Enrique Cerioni; Giosa, Oscar Rossi (Valeriano López), Héctor López, Eduardo Ricagni y Manuel Pelegrina.","15 Pelegrina, 19 y 47 Pairoux, 66 Ricagni."
14/12/1952,Emilio Baldonedo,visitante,derrota,0,4,Millonarios (Colombia),Amistoso,El Campín (Bogotá),Gregorio (Colombia),"Jacinto Díaz; Juan Romeral y Rodríguez; Néstor Naya, Juan Romo (José Nazionale) y Enrique Cerioni; Giosa (O. Rossi), Lazón, H. López (V. López), Ricagni y Pelegrina.","Julio Cozzi; Ramírez y Zuloaga; Stemberg (Pini), Néstor Rossi y Benegas; Castillo, Báez, Alfredo Di Stéfano, Villaverde (Fernández) y Aguilera.","Goles: 36 y 56 Di Stéfano; 38 Castillo; 72 Báez."
21/12/1952,Emilio Baldonedo,visitante,victoria,3,2,Dep. Quindío (Colombia),Amistoso,Municipal (Armenia),Fernández (Colombia),"Tissera; Cuello y Lombardo; Carugno, González y Sánchez; Gutiérrez, Cazaubón, Alarcón, Garelli y Urruty.","Ogando; Juan Romeral y Juan Filgueiras; José Nazionale, Juan Romo y Enrique Cerioni; Giosa, Oscar Rossi, Valeriano López, Eduardo Ricagni y Manuel Pelegrina.","Goles: 26p y 80 Ricagni, 30 Gutiérrez, 32 López, 40 Cazaubón."
28/12/1952,Emilio Baldonedo,visitante,empate,2,2,Dep. Cali (Colombia),Amistoso,"Fasciolo; Castro y Caicedo; Viáfara, Sastre y Lecca; Pérez, Coll, R. Cerioni, Cervino y Castro.","Ogando; Romeral y Juan Filgueiras; Néstor Naya (Rodríguez), Juan Romo (José Nazionale) y E. Cerioni; Giosa (Lazón), Héctor López (Oscar Rossi), Infante (Valeriano López), Eduardo Ricargni y Manuel Pelegrina.","Pascual Guerrero (Colombia).","Turío.","Goles: 4 R. Cerioni, 15 Héctor López, 43 Cervino, 72 Ricagni."
02/01/1953,Emilio Baldonedo,visitante,empate,2,2,Boca Juniors (Colombia),Amistoso,"-","-","Pascual Guerrero (Colombia).","Goles: Valeriano López (2), Amaya.",x
15/01/1956,Adolfo Pedernera,visitante,victoria,3,1,Nacional (Colombia),Gira por América (amistoso),"Atanasio Girardot (Colombia).",x,x,x,x
22/01/1956,Adolfo Pedernera,visitante,victoria,2,0,Ind. Medellín (Colombia),Gira por América (amistoso),"Atanasio Girardot (Colombia).",x,x,x,x
29/01/1956,Adolfo Pedernera,neutral,derrota,3,4,Millonarios (Colombia),Cuadrangular Internacional (amistoso),"Pedernera.","Londoño (Colombia)",x,x,x
14/02/1956,Adolfo Pedernera,visitante,empate,0,0,Ind. Medellín (Colombia),Gira por América (amistoso),"Ind. Medellín: Sánchez; Lauro y Caicedo; Pacheco, Calonga y Retamoso; Larraz, Seghini, Pizarro, Arango y Moreno.","Edgardo Madinabeytia; Sherl y Zuluaga; Urquijo, Rodríguez y Ardanaz; Respuela, Rossi, Pedernera, Infante y Onzari",Atanasio Girardot (Colombia).,x,x
15/02/1956,Adolfo Pedernera,neutral,empate,1,1,Nacional (Colombia),Amistoso,Coloso de Ibagué (Colombia),"Goles: Lanza y O. Rossi.",x,x,x
