Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T
03/02/2015,Apuzzo,visitante,victoria,4,0,Alianza Lima (Perú),Eliminatoria de Copa Libertadores 2015,Alejandro Villanueva (Lima),Hernando Buitrago (Colombia),"Marcos Díaz; Federico Mancinelli, Santiago Echeverría, Eduardo Domínguez y Luciano Balbi; Lucas Villarruel, Federico Vismara (82 Lucas Favalli), Patricio Toranzo y Alejandro Romero Gamarra; Agustín Torassa (74 Iván Moreno Fabianesi) y Ramón Ábila (84 Iván Borghello).","Forsyth; Guizasola (68 Landauri), Miguel Araujo, Miers y Trujillo; Costa, Míguez, Albarracín (46 Cueva) y Cedrón; Mimbela (46 Preciado) y Guevgeozián.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjky4EOzzx-fpPH_8LUYhswABZVjWXFdfxUpUsUNmsM3SNPm5XCi3MXtuAnYSR3SPRBlbuBzG7omKA7URFVcSNUT-nmhgry-Vr0Mo7csWUTQCGCqbl8NmRfSacWvoSVRs_lXRrNAA7q7l5g/w600-h400/VS+ALIANZA+LIMA+PERU+1.jpg,4 GOL Ramón Ábila (HUR)</br>36 GOL Alejandro Romero Gamarra (HUR)</br><b>1° Tiempo: Alianza 0x2 Huracán</b></br>76 GOL Patricio Toranzo (HUR)</br>80 GOL Patricio Toranzo (HUR),45,90
10/02/2015,Apuzzo,local,empate,0,0,Alianza Lima (Perú),Eliminatoria de Copa Libertadores 2015,Tomás A. Ducó,Oscar Maldonado (Bolivia),"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Lucas Villarruel, Federico Vismara, Patricio Toranzo (82 Iván Borghello) y Alejandro Romero Gamarra (85 Guillermo Sotelo); Agustín Torassa (71 Iván Moreno Fabianesi) y Ramón Ábila.","Forsyth; Guizasola, Miguel Araujo, Miers y Trujillo; Costa (79 Preciado), Míguez, Albarracín y Cuevas (70 Noronha); Landauri y Guevgeozián.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgIALD2ZJqkrX3CqSSrorbYyZedIe5adFLlwv2ZfxPYP_T6FvKfh-j-yQUtmkmbz11gy6KDY61EQh8DKtJ0zLxDFjE7j8SaRhF5gn0iT5TiQvR4h-QsKDpEnrvcvYAIBia3O1L1bJliG8kN/w600-h400/VS+ALIANZA+LIMA+BSAS.jpg,<b>1° Tiempo: Huracán 0x0 Alianza</b>,45,90
15/02/2015,Apuzzo,visitante,derrota,0,1,Unión (Santa Fe),1° fecha del Campeonato 2015,15 de Abril (Santa Fe),Mauro Vigliano,"Marcos Díaz; Hugo Nervo, Santiago Echeverría, Eduardo Domínguez y Luciano Balbi (82 Iván Moreno Fabianesi); Patricio Toranzo, Lucas Villarruel, Federico Vismara y Alejandro Romero Gamarra; Agustín Torassa (75 Iván Borghello) y Ramón Ábila.","Fernández; Zurbriggen, García Guerreño, Sánchez y Cardozo; Fabro (61 Montero), Martínez, Rivas (61 Villar) y Malcorra; Enrique Triverio (73 Fernando Coniglio) y Lucas Gamba.",foto,62 GOL Enrique Triverio (UNI),45,90
21/02/2015,Apuzzo,local,victoria,1,0,Arsenal,2° fecha del Campeonato 2015,Tomás A. Ducó,Silvio Trucco,"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Patricio Toranzo (71 Ezequiel Gallegos), Lucas Villarruel, Federico Vismara y Alejandro Romero Gamarra (82 Iván Borghello); Agustín Torassa (79 Iván Moreno Fabianesi) y Ramón Ábila.","Andrada; Rosero Valencia, Correa, Curbelo y Pérez; Cristian M Chávez (63 Fredes), Marcone, Zaldivia (46 Burzio) y Ramiro Carrera; Muñoz y Rasic (46 Pugh).",foto,37 GOL Ramón Ábila (HUR),45,90
24/02/2015,Apuzzo,local,empate,2,2,Mineros (Venezuela),1° fecha de Copa Libertadores 2015,Tomás A. Ducó,Adrián Vélez (Colombia),"Marcos Díaz (43 Matías Giordano); Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi (62 Daniel Montenegro); Patricio Toranzo (79 Ezequiel Gallegos), Lucas Villarruel, Federico Vismara y Alejandro Romero Gamarra; Agustín Torassa y Ramón Ábila.","Romo; Vallenilla, Machado, Christian Cueva y Cichero; Acosta (82 López), Matos, Jiménez y Pérez (61 Peña); Blanco y Zamir Valoyes (86 Cabezas).",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhIohU9c9ppI4VYMyMBzViqFXA_Y9PnHAt5n3qRSIs0M7QmlGJWzcWqspkDUmcOT6uLxsi3Uv_lXUNULoJMiI4t7MhYGuno7erfMkvWXzbN-V-NBTue7P_XbQjGHMn2Q7FIFecCmirx2lGO/w600-h400/VS+MINEROS.jpg,21 GOL Zamir Valoyes (MIN)</br>29 GOL Lucas Villarruel (HUR)</br><b>1° Tiempo: Huracán 1x1 Mineros</b></br>81 GOL Zamir Valoyes (MIN)</br>88 GOL Eduardo Domínguez (HUR),45,90
27/02/2015,Apuzzo,visitante,derrota,1,2,Godoy Cruz (Mendoza),3° fecha del Campeonato 2015,Malvinas Argentinas (Mendoza),Diego Abal,"Matías Giordano; Hugo Nervo, Santiago Echeverría, Eduardo Domínguez y Luciano Balbi; Iván Moreno Fabianesi (80 Nicolás Bruna), Gabriel Robledo (68 Iván Borghello), Ezequiel Gallegos y Guillermo Sotelo; Daniel Montenegro y Ramón Ábila (86 Santiago Carrera).","Moyano; Ceballos, Galeano, Viera y Alvacete (15 Juan F Garro); Zuqui, García, Díaz (55 Leandro Caruso) y Bella; Fernández (68 Zárate) y Ayoví.",foto,45+2 GOL Ayoví (GCR)</br>76 GOL Iván Borghello (HUR)</br>84 EXP Eduardo Domínguez (HUR)</br>89 GOL Juan F Garro (GCR),45+2,90
03/03/2015,Apuzzo,visitante,empate,0,0,Cruzeiro MG (Brasil),2° fecha de Copa Libertadores 2015,Mineirao (Bello Horizonte),Enrique Cáceres (Paraguay),"Matías Giordano; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi (77 Guillermo Sotelo); Patricio Toranzo (68 Santiago Echeverría), Lucas Villarruel, Federico Vismara y Alejandro Romero Gamarra; Agustín Torassa (60 Daniel Montenegro) y Ramón Ábila.","Fábio; Mayke, Léo, Paulo André y Mena; Willians, Henrique Lima (75 Henrique Dourado), De Arrascaeta (67 Judivan) y Leandro Damiao; Marquinhos y Willian (46 Allison).",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgjPgQbq7BSpV-5NGVVeZvzMWlIK555FAm34sRmOj6hm8YdSE7GDMRw_mOsn9sjNEMYWzex2-YPZqrOphHG6l6SCePXBbe2MBrsCwCXhd_0QY0dwsPKNdiqr_oylHclm7RzRJiGta5cCemS/w600-h400/VS+CRUZEIRO.jpg,</br><b>1° Tiempo: Cruzeiro 0x0 Huracán</b>,45,90
06/03/2015,Apuzzo,local,empate,1,1,Gimnasia y Esgrima (La Plata),4° fecha del Campeonato 2015,Tomás A. Ducó,Diego Abal,"Gonzalo Marinelli; Leonardo Zaragoza, Federico Mancinelli, Santiago Echeverría y Guillermo Sotelo; Ezequiel Gallegos, Nicolás Bruna, Iván Moreno Fabianesi y David Distéfano (54 Edson Puch); Iván Borghello (69 Ramón Ábila) y Lucas Campana (58 Daniel Montenegro).","Navarro; Oreja, Barsottini, Benítez y Licht; Meza, Brum, Á Fernández (55 I Fernández) y Javier Mendoza (65 Rojas); Medina (67 Mazzolla) y Vegetti.",foto,15 GOL Medina (GYE)</br>51 GOL Lucas Campana (HUR)</br>80 EXP Nicolás Bruna (HUR)</br>86 EXP Oreja (GYE),45,90
10/03/2015,Apuzzo,visitante,empate,0,0,Universitario (Bolivia),3° fecha de Copa Libertadores 2015,Patria (Sucre),José Argote (Venezuela),"Matías Giordano; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Guillermo Sotelo; Daniel Montenegro, Lucas Villarruel (86 Santiago Echeverría), Federico Vismara y Alejandro Romero Gamarra (77 Iván Moreno Fabianesi); Agustín Torassa (53 Ezequiel Gallegos) y Ramón Ábila.","Robles; Flores, Ezequiel Filippetto, González y Ballivián; Ribera (46 Palavicini), Silvestre, De la Cuesta y Bejarano (76 Pérez); Richard Mercado (60 Saucedo) y Leonardo Castro.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgzRR9IymmA4M_wZcd7OD25seHYhfklCdqZ5CKURjhlRSLlq1h20qNqjeaWKOwC4KYg3J0xYbcVZb0q39oKVu2cT4EV_SPuSJM23eSp9o4Zqfy1n15zOnnr9ankeBVkYXg7ol7Z2mD-k5N7/w600-h400/VS+UNIVERSITARIO+2.jpg,<b>1° Tiempo: Universitario 0x0 Huracán</b>,45,90
15/03/2015,Apuzzo,visitante,derrota,1,3,San Lorenzo de Almagro,5° fecha del Campeonato 2015,Pedro Bidegain,Saúl Laverni,"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Guillermo Sotelo; Patricio Toranzo, Federico Vismara, Ezequiel Gallegos (57 Edson Puch) y Daniel Montenegro (75 Lucas Campana); Alejandro Romero Gamarra y Ramón Ábila.","Torrico; Buffarini, Cetto, Caruzzo y Más; Blanco (79 Verón), Mercier, Kalinski y Romagnoli (66 Pablo Barrientos); Mussis (72 Ortigoza) y Matos.",foto,16 GOL Patricio Toranzo (HUR)</br>31 GOL Romagnoli (SLO)</br>45 GOL Caruzzo (SLO)</br><b>1° Tiempo: San Lorenzo 2x1 Huracán</b></br>64 GOL Matos (SLO),45,90
21/03/2015,Apuzzo,local,victoria,4,0,Argentinos Juniors,6° fecha del Campeonato 2015,Tomás A. Ducó,Fernando Echenique,"Marcos Díaz; Federico Mancinelli (67 Santiago Echeverría), Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Lucas Villarruel (65 Iván Moreno Fabianesi), Federico Vismara, Edson Puch (80 Daniel Montenegro) y Patricio Toranzo; Alejandro Romero Gamarra y Ramón Ábila.","Luis Ojeda; Cristian Álvarez, Flores, Matricardi y Freire; Agüero (46 Luciano Cabral), Iñíguez, Gallego y Giménez; Rinaldi y Lenis (60 Castillejos).",foto,4 GOL Ramón Ábila (HUR)</br>28 Flores (HUR) -en contra-</br>32 GOL Ramón Ábila (HUR)</br>62 GOL Ramón Ábila (HUR),45,90
